What_is_your_gender,What_is_your_level_of_education,How_familiar_are_you_with_using_AI_chatbots,What_task_did_you_attempt_to_complete_using_ChatGPT__eg_Assignment_Research_Calculation_etc,Were_you_able_to_successfully_complete_your_task_using_ChatGPT,How_easy_was_it_to_interact_with_ChatGPT,Was_ChatGPT_able_to_understand_your_questions_or_prompts_accurately,How_effectively_did_ChatGPT_provide_solutions_or_answers_to_your_queries,Did_ChatGPT_save_you_time_in_completing_your_tasks,How_would_you_rate_ChatGPTs_reliability_in_delivering_consistent_responses,Would_you_use_ChatGPT_again_for_similar_tasks,How_engaging_did_you_find_the_interaction_with_ChatGPT,Did_ChatGPTs_responses_feel_natural_and_humanlike,Did_ChatGPTs_responses_evoke_any_emotional_reaction_eg_frustration_delight_confusionShort_answer,How_enjoyable_was_your_experience_with_ChatGPT,Would_you_recommend_ChatGPT_to_others_based_on_your_experience,What_did_you_like_most_about_ChatGPT,What_did_you_dislike_or_find_frustrating_about_ChatGPT,On_a_scale_of_1_to_5_how_would_you_rate_ChatGPT_overall,What_suggestions_do_you_have_for_improving_ChatGPT
Male,Undergraduate,1,nthn,,1,"Yes, partially",,,2.0,,3,Neutral,frustration,3.0,Neutral,lmao,lol,2.0,"they should return the money back to the investors, app is shit"
Male,Undergraduate,4,Research ,1.0,2,"Yes, completely",,,5.0,,5,A;ways,Delight ,5.0,Probably,Al and ml,Code(programming),4.0,Learning and studying 
Male,Undergraduate,5,Research,1.0,4,"Yes, completely",,,4.0,,4,A;ways,Normal,4.0,Definitely,Response Time,Nothing,4.0,Nothing
Male,Undergraduate,5,"Assignment, research, Calculation, discovery",1.0,1,"Yes, partially",,,5.0,,5,Most of the time,Frustration sometimes ,4.0,Definitely,It's vast knowledge base and ability to communicate new concepts ,It's roundabout nature in answering definitive questions ,5.0,Make some types of answers more concise
Male,Undergraduate,5,Calculation,1.0,1,"Yes, partially",,,3.0,,5,Most of the time,Confusion,3.0,Definitely,It understands my questions ,It can confuse me at times,5.0,It should reduce the way it confuse people
Male,Undergraduate,2,fd,,2,"Yes, partially",,,2.0,,2,Most of the time,hd,2.0,Probably,en,dnd,5.0,hehe
Female,Undergraduate,4,Research ,1.0,5,"Yes, completely",,,5.0,,4,A;ways,Delight ,4.0,Definitely,Everything ,Doesn't give coreect answer sometimes ,4.0,Give correct answers 
Male,Undergraduate,4,"Research, Programming",,3,"No, not at all",,,2.0,,3,Rarely,Frustration,2.0,Probably not,Nothing,It's ass,2.0,Rest
Male,Undergraduate,3,"Assignment, Research and information gathering ",1.0,3,"Yes, partially",,,3.0,,3,Neutral,Frustration ,3.0,Definitely,It gave a lot of information about a subject ,Incorrect answers sometimes ,3.0,Accurate solutions to problems and questions
Male,Undergraduate,5,All,1.0,5,"Yes, completely",,,5.0,,5,Most of the time,Sometimes ,5.0,Definitely,4th version ,Nothing ,5.0,Human like vibe
Male,Undergraduate,2,lol,0.0,1,"Yes, partially",,,2.0,,1,Most of the time,lmao,2.0,Definitely,lol,lmao,2.0,omoooo
Male,Undergraduate,3,reseasrch,1.0,3,"Yes, completely",,,3.0,,3,Neutral,no,3.0,Neutral,no,no,3.0,no
Male,Undergraduate,2,Yyyyy,0.0,5,"Yes, partially",,,4.0,,2,Most of the time,Yyy,3.0,Probably,N/A,N/A,2.0,Yyyy
Male,Undergraduate,5,"Assignment, Research, entertainment ",1.0,1,"Yes, completely",,,5.0,,4,Most of the time,Ecstatic,5.0,Definitely,It’s resourcefulness,Incomplete inhumaness,4.0,The ability for chatgpt to Ben human like
Male,Undergraduate,5,assignment and research,1.0,4,"Yes, partially",,,4.0,,4,Rarely,none,3.0,Definitely,the response time,N/A,5.0,it should be up to date
Male,Undergraduate,5,All mentioned above,1.0,1,"Yes, completely",,,5.0,,4,Most of the time,None stated above,4.0,Definitely,Fast solutions,Nothing I can remember of,4.0,Increase the limits for non-premium users
Male,Undergraduate,4,Assignemnts,1.0,4,"Yes, partially",,,4.0,,3,Most of the time,Delght ,4.0,Neutral,Its fast respojce time ,Its inhumqn nature ,4.0,Nothing 
Female,Undergraduate,5,"Research, assignment, personal projects ",1.0,1,"Yes, partially",,,4.0,,3,Most of the time,delight,3.0,Neutral,it's efficiency ,too much explanation ,4.0,not really
Male,Undergraduate,5,Assignment ,1.0,1,"Yes, completely",,,5.0,,4,Neutral,Esctactiness ,4.0,Definitely,It’s resourcesfulness,It’s inhumaness,4.0,The ability to have human conversations 
Male,Undergraduate,5,Research and Assignment,,3,"Yes, partially",,,3.0,,3,Neutral,Prefer not to say,3.0,Neutral,Nothing ,Nothing,3.0,Not my business it is your to fix 
Male,Undergraduate,2,Calculations ,1.0,2,"Yes, partially",,,2.0,,2,Most of the time,Confusion ,3.0,Probably,Nothing ,Nothing ,2.0,Nothing 
Male,Undergraduate,3,ASSIGNMENT,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,DELIGHT,5.0,Definitely,Saves time,Summarizes answers,3.0,Nil
Male,Undergraduate,4,Research ,1.0,3,"Yes, completely",,,4.0,,4,Most of the time,Confusion ,4.0,Definitely,It's gives accurate answers sometimes,Its get glitchy at times,4.0,I suggest they should improve it so its wont get glitchy again 
Male,Undergraduate,5,"Assigment, code debugging, research",1.0,5,"Yes, partially",,,4.0,,5,Most of the time,No,5.0,Definitely,The way you can interact with it,N/A,4.0,They should have a maths solver feature 
Female,Undergraduate,5,"Research,assignment ",1.0,1,"Yes, completely",,,5.0,,5,Most of the time,Delight ,5.0,Probably,Accuracy,Nothing ,5.0,Their platform should be more fast
Male,Undergraduate,5,"Assignments, research, calculations ",1.0,1,"Yes, completely",,,4.0,,3,Neutral,No,4.0,Probably,The reply accuracy and speed,Nothing,4.0,No suggestions 
Male,Undergraduate,5,Assignment and research and personal assistant ,1.0,5,"Yes, completely",,,5.0,,5,A;ways,No,5.0,Definitely,The way it answers ,Nothing ,5.0,Make it free 
Male,Undergraduate,3,Daily tasks,1.0,4,"Yes, completely",,,4.0,,5,Most of the time,No,5.0,Definitely,It's effective and efficient,Nothing really ,4.0,Making chat gpt 4.0 or mini active your all users
Male,Undergraduate,4,Assignment ,1.0,2,"Yes, partially",,,4.0,,4,Neutral,No,4.0,Probably,Speed,Nothing ,4.0,Should be free for all
Male,Undergraduate,5,"Assignment, research and personal assistant ",1.0,5,"Yes, completely",,,5.0,,5,A;ways,No,5.0,Definitely,The way is answers questions ,Nothing ,5.0,Pictures 
Male,Undergraduate,4,Assignments research calculations ,1.0,3,"Yes, completely",,,5.0,,4,Most of the time,Delight,4.0,Probably,Correct answers,Nothing ,4.0,No premium 
Male,Undergraduate,2,Assignment ,1.0,1,"Yes, completely",,,3.0,,4,Neutral,Delight,4.0,Definitely,Its efficiency ,N/A,4.0,Offline
Male,Undergraduate,5, Code debugging ,1.0,5,"Yes, completely",,,4.0,,5,Most of the time,Okay,5.0,Definitely,The upload image feature,Nothing,4.0,They should provide a maths solver feature 
Male,Undergraduate,1,Assignment ,1.0,3,"Yes, completely",,,1.0,,1,Neutral,Delight ,3.0,Neutral,Answers,Nothing ,1.0,Nothing 
Male,Undergraduate,1,"assignment,research",,1,"No, not at all",,,1.0,,1,Neutral,frustration,1.0,Neutral,nothing,everything,1.0,no
Male,Postgraduate,4,Assignment,1.0,2,"Yes, completely",,,4.0,,4,Neutral,Delight ,4.0,Definitely,It's fast,Nothing ,4.0,No suggestions 
Male,Undergraduate,5,Research ,1.0,4,"Yes, completely",,,5.0,,4,Neutral,Nothing,4.0,Neutral,Responsive ,Stressful,4.0,Nothing really
Male,Undergraduate,3,Assignment,1.0,2,"Yes, completely",,,3.0,,3,Neutral,Confusion,3.0,Probably,Result,Wrong Answer,3.0,Expand the search limit
Male,Undergraduate,5,Assignment ,1.0,5,"Yes, completely",,,5.0,,5,Neutral,No,5.0,Definitely,Fast,Nothing,5.0,Expend search limit
Male,Undergraduate,3,"assignment ,calculation, research",1.0,4,"Yes, partially",,,2.0,,2,Most of the time,confusion,2.0,Neutral,it response,it response,3.0,nothing
Male,Undergraduate,4,Assignment ,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,Delight ,4.0,Definitely,Answers,Nothing ,4.0,Nothing 
Male,Undergraduate,4,"Assignment, Research, Calculation, etc. ",1.0,1,"Yes, completely",,,5.0,,5,Neutral,"frustration, delight & confusion in different cases ",4.0,Definitely,everything ,no,5.0,none
Female,Undergraduate,4,Assignment ,1.0,2,"Yes, completely",,,3.0,,4,Neutral,Short answer,4.0,Definitely,It is efficient ,You have to sign in to save your works ,4.0,N/A
Female,Undergraduate,5,"Assignment,Research",1.0,1,"Yes, partially",,,3.0,,3,Neutral,delight,3.0,Definitely,It provided answers most of the time,When is is wrong,3.0,it should be more senstitive
Male,Undergraduate,4,Assignment ,1.0,2,"Yes, completely",,,4.0,,4,A;ways,Delight ,4.0,Definitely,It's fast,Nothing ,4.0,Premium 
Female,Undergraduate,5,"Assignments, research, calculations and gist buddy",1.0,1,"Yes, partially",,,4.0,,5,Most of the time,Pleasing ,5.0,Definitely,Able to communicate effectively and always asking you if you need anymore clarification on questions asked earlier ,Nothing in particular ,5.0,Not really 
Male,Undergraduate,2,"Research,",1.0,3,"Yes, completely",,,4.0,,4,A;ways,Delight,5.0,Definitely,Its User experience,Its Paid,4.0,Making it Open source
Male,Undergraduate,4,Assignment and Research,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,Delight ,4.0,Probably,Answers given,Nothing ,4.0,Nothing 
Male,Undergraduate,4,Assignment ,1.0,5,"Yes, completely",,,5.0,,5,Neutral,No,5.0,Definitely,Answers ,Nothing ,5.0,Nothing 
Prefer not to say,Undergraduate,3,Learning,1.0,3,"Yes, completely",,,3.0,,3,Most of the time,Non chalant ,3.0,Neutral,Okay,Nothing ,4.0,Nothing 
Male,Undergraduate,3,Research,1.0,5,"Yes, partially",,,3.0,,2,Most of the time,Frustration,3.0,Probably,Vast knowkedge,The fact that it is less human in reasoning,3.0,Human based responce
Male,Undergraduate,3,Assignment and research ,,1,"Yes, partially",,,5.0,,3,Most of the time,Confusion ,4.0,Definitely,Fast and consistent response ,Confusion about questions ,4.0,Nothing yet
Female,Undergraduate,3,"Assignment, Calculations and research",1.0,2,"Yes, completely",,,4.0,,3,Most of the time,Not really,3.0,Probably,It helps me know more about some things ,Nothing,3.0,Nothing 
Male,Undergraduate,5,Assignment ,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Probably,Correct answers ,Nothing ,5.0,Nothing
Female,Undergraduate,3,Assignment,1.0,5,"Yes, completely",,,4.0,,5,Most of the time,No,4.0,Definitely,Speed,Time,3.0,No idea
Male,Undergraduate,4,all of the above,1.0,2,"Yes, partially",,,2.0,,3,Most of the time,confusion,3.0,Probably,its response,nothing,3.0,i dont know
Male,Undergraduate,4,Assignment ,1.0,5,"Yes, completely",,,4.0,,4,Neutral,Nah,4.0,Probably,Answers,N/A,4.0,Nothing 
Male,Undergraduate,4,Calculation and research,1.0,2,"Yes, partially",,,4.0,,3,Rarely,No,4.0,Definitely,Quick and Efficient answers,Nothing,5.0,Make it human like 
Male,Undergraduate,3,Assignment ,,3,"Yes, partially",,,3.0,,2,Neutral,No,3.0,Neutral,Nothing ,Nothing ,3.0,I don't know 
Male,Undergraduate,5,to solve a math problem ,1.0,1,"Yes, partially",,,4.0,,5,A;ways,stress,5.0,Definitely,effectiveness ,stress,5.0,improve users interface 
Male,Undergraduate,5,slot ,1.0,5,"Yes, completely",,,4.0,,4,A;ways,no,4.0,Definitely,everything ,nothing,5.0,nothing 
Male,Undergraduate,4,Research,,3,"Yes, partially",,,4.0,,4,Neutral,Confusion and delight,4.0,Probably,User friendly ,Nothing,4.0,Be better
Male,Undergraduate,4,Assignment ,1.0,4,"Yes, completely",,,4.0,,3,Neutral,Nah,3.0,Probably,Answers ,N/A,4.0,Nothing 
Male,Undergraduate,3,Assignment ,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,No,4.0,Definitely,Speed,Accuracy,4.0,It should relate to the exact problem 
Male,Undergraduate,5,Research,1.0,1,"Yes, completely",,,5.0,,5,Most of the time,Delight,5.0,Probably,Easy to use,Nothing,5.0,It should be fast 
Male,Undergraduate,3,Assignment,1.0,4,"Yes, partially",,,4.0,,3,Neutral,No,3.0,Probably,I don't know ,I'm not sure ,3.0,Be better
Female,Undergraduate,3,Assignment ,1.0,3,"Yes, partially",,,3.0,,3,Neutral,Frustration ,3.0,Neutral,N/A,N/A,3.0,I don’t really know 
Female,Undergraduate,5,Assignment,1.0,5,"Yes, partially",,,5.0,,5,Most of the time,Delight,5.0,Definitely,It makes my work easier,Nothing,4.0,Nothing
Female,Undergraduate,5,Academic researches  and assignments,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,Satisfaction,4.0,Definitely,Immediate responses,Some errors in math problems ,4.0,It should also be graphic based not only textbased
Male,Undergraduate,2,Assignment ,1.0,1,"Yes, partially",,,2.0,,2,Most of the time,No,3.0,Definitely,Nothing ,Nothing ,5.0,Nothing 
Female,Undergraduate,4,Assignment and research.,1.0,4,"Yes, completely",,,4.0,,4,Rarely,Confusion.,4.0,Definitely,Great user interface.,Its inability to humanize text.,4.0,Humanization AI should be added .
Male,Undergraduate,3,Assignments and research ,,3,"Yes, completely",,,3.0,,2,Neutral,No,3.0,Neutral,Nothing in particular ,Nothing in particular ,3.0,Nothing 
Female,Undergraduate,3,Assignments and calculations,1.0,1,"Yes, partially",,,3.0,,4,Most of the time,It depends on questions asked,4.0,Definitely,Its speed and reliability,Not getting clear answers at times,4.0,NIL
Male,Undergraduate,3,Research ,1.0,4,"Yes, partially",,,3.0,,3,Rarely,Not really ,3.0,Probably,Quick ,Not always accurate ,4.0,Pay more attention to details
Male,Undergraduate,4,Research ,,4,"Yes, partially",,,4.0,,4,Rarely,delight ,4.0,Probably,It effectiveness to reply to questions .,Sometimes it doesn't give you what you want.,4.0,Make the subscription time longer
Male,Undergraduate,4,"Assignment, Research.",1.0,3,"Yes, partially",,,4.0,,3,Most of the time,frustration,3.0,Probably,quick response,diffcult answers,4.0,i don't know
Male,Undergraduate,3,Research,1.0,3,"Yes, completely",,,4.0,,3,Neutral,Delight,2.0,Probably,The responce,Nothing,2.0,Nothing
Male,Undergraduate,3,Assignment ,1.0,3,"Yes, partially",,,3.0,,3,Most of the time,Delight ,3.0,Neutral,Nothing ,Nothing ,3.0,Nothing 
Female,Undergraduate,4,Assignment and research,1.0,4,"Yes, partially",,,4.0,,4,Most of the time,No,4.0,Definitely,Effective,Nothing,4.0,Short answers when specified
Male,Undergraduate,4,Research,,2,"Yes, partially",,,4.0,,4,Neutral,No,3.0,Definitely,Being able to give answer and solution to every question and problem when prompted,Was not able to give real life examples,4.0,Being able to give practical examples 
Male,Undergraduate,4,assignment,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,nuh,3.0,Neutral,N/A,N/A,4.0,nuh
Male,Undergraduate,3,All of the above,1.0,3,"Yes, completely",,,3.0,,3,Most of the time,234,3.0,Definitely,efgv,bjy,3.0,skwkei
Male,Undergraduate,4,Assignment,1.0,2,"Yes, partially",,,4.0,,2,Most of the time,Frustration,4.0,Definitely,I like it’s quick response,Sometimes it confuses the answers,4.0,Answers can be accompanied with images concerning computer science courses
Female,Undergraduate,3,Assignment ,1.0,2,"Yes, partially",,,4.0,,3,Neutral,None ,2.0,Definitely,N/A,N/A,3.0,None 
Female,Undergraduate,4,"Research, calculation and research.",1.0,4,"Yes, completely",,,4.0,,4,Rarely,Frustration,4.0,Definitely,It is reliable and efficient,Inability to humanize text.,4.0, A humaniser AI should be incorporated among its features.
Male,Undergraduate,3,Research,,3,"Yes, partially",,,3.0,,3,Neutral,Delight,3.0,Probably,Response ,Explanations ,3.0,Response 
Male,Undergraduate,4,Research ,1.0,4,"Yes, completely",,,1.0,,4,Most of the time,Delight ,4.0,Definitely,It’s response,It’s slow,4.0,It should be fast
Male,Undergraduate,3,assignment,1.0,2,"Yes, partially",,,3.0,,3,Neutral,delight,3.0,Probably,quick response,nothing,4.0,nothing
Male,Undergraduate,4,"Research, Assignment, calculations etc.",1.0,1,"Yes, completely",,,4.0,,4,Most of the time,Delight ,4.0,Definitely,Interface,Premium version ,4.0,More file upload trial
Male,Undergraduate,1,Calculation ,1.0,3,"Yes, partially",,,4.0,,5,Most of the time,Delight,3.0,Probably,It’s reliability ,Nothing ,3.0,N/A
Male,Undergraduate,3,Assignment ,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,N/A,3.0,Probably,It’s accuracy ,Nothing,5.0,Nothing
Male,Undergraduate,5,Assignment Research etc,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,N/A,4.0,Probably,Reliability ,Paying for Premium accounts ,5.0,"Maths solver feature, remove limits for uploading file"
Male,Undergraduate,4," Assignment, Research, Calculation etc.",1.0,1,"Yes, completely",,,4.0,,5,Most of the time,no,4.0,Neutral,jdboc vl,qdgvicfli,4.0,eiyuop1
Male,Postgraduate,2,assignment,1.0,1,"Yes, completely",,,3.0,,3,Neutral,delight,3.0,Neutral,asdfi,asdfghjk,3.0,fghjk
Male,Undergraduate,2,assignment,1.0,2,"Yes, partially",,,2.0,,2,Most of the time,vg,2.0,Probably,fhdj,rsdhjm,2.0,bzfghjkh
Male,Undergraduate,3,Reasearch,1.0,2,"Yes, partially",,,3.0,,4,Most of the time,confusion,4.0,Definitely,Its easy to use and provides similar or very close works based on the ,One minute file input and no image generator,4.0,Image Generator
Male,Undergraduate,2,All of the above ,1.0,3,"Yes, partially",,,3.0,,3,Most of the time,No,3.0,Probably,It's speed ,Doesn't always answers correctly ,3.0,Answer questions more accurately 
Male,Undergraduate,4,Research ,,4,"Yes, completely",,,3.0,,4,Most of the time,Delight ,4.0,Probably,It’s okay and answers question effectively ,It answers questions slow most times,3.0,Fast answers to questions 
Male,Undergraduate,5,Assignment,1.0,5,"Yes, completely",,,5.0,,5,Most of the time,Delight,5.0,Definitely,N/A,N/A,5.0,Nothing
Female,Undergraduate,3,Assignment ,1.0,3,"Yes, completely",,,3.0,,3,Most of the time,Delight,3.0,Definitely,Its efficiency ,Its offline ,3.0,Offline
Male,Undergraduate,4,Assignment,1.0,4,"Yes, completely",,,5.0,,4,Neutral,Delight,4.0,Definitely,swift and precise answers,Too much ads,4.0,No idea
Male,Undergraduate,4,"Assignments,Research,Planning and other tasks",,2,"Yes, partially",,,3.0,,3,Neutral,no,3.0,Probably,it's effective,it's not that reliable,3.0,the premium version should be available to all users for free
Male,Undergraduate,3,Coding,1.0,4,"Yes, completely",,,4.0,,3,Neutral,No,4.0,Probably,Nice user interface ,Nothing ,4.0,Nothing 
Male,Undergraduate,3,Assignment,1.0,3,"Yes, completely",,,3.0,,3,Most of the time,delight,3.0,Probably,quick response,nothing,3.0,nothing
Male,Undergraduate,5,Assignment ,1.0,1,"Yes, completely",,,5.0,,5,Most of the time,Delight,5.0,Probably,It’s fast,Nothing,5.0,They should imp
Male,Undergraduate,3,Assignment,1.0,5,"Yes, completely",,,5.0,,5,Most of the time,straightforward,5.0,Definitely,Accuracy,Nothing,5.0,Increase in the amount of upload of documents from my system
Male,Undergraduate,3,"Assignment, Research, Calculation etc.",1.0,1,"Yes, completely",,,3.0,,3,Neutral,no,3.0,Probably,it saves time,nothing,3.0,none
Male,Undergraduate,3,"Assignment, research, mathematical calculation, basic conversation etc",1.0,3,"Yes, partially",,,3.0,,3,Neutral,None comes to mind,3.0,Definitely,Reliability and accuracy somewhat,It can be quite dense ,4.0,Nothing really
Male,Undergraduate,3,research,1.0,2,"Yes, completely",,,2.0,,3,Neutral,delight,2.0,Neutral,everything,somethings,2.0,nothing
Female,Undergraduate,3,research ,1.0,4,"Yes, completely",,,5.0,,4,Most of the time,delight ,4.0,Definitely,everything ,nothing ,5.0,food 
Male,Undergraduate,4,"Assignment, Research and calculation",1.0,1,"Yes, completely",,,5.0,,4,Neutral,no,4.0,Probably,Everything,Nothing,4.0,All the models should be made free
Male,Undergraduate,3,assignment,1.0,3,"Yes, completely",,,3.0,,3,A;ways,jazz,3.0,Definitely,jazz,no evidence,3.0,Ajayi
Male,Undergraduate,1,all of the above,1.0,5,"Yes, completely",,,5.0,,3,A;ways,all of the above,3.0,Definitely,effciency,nothing,4.0,nothing
Male,Undergraduate,3,"Assignment, Research, Calculation etc.",1.0,3,"Yes, partially",,,3.0,,3,Neutral,not really,3.0,Neutral,speed,djdkn,3.0,nn
Male,Undergraduate,3,Research,1.0,3,"Yes, completely",,,3.0,,3,Most of the time,No,4.0,Probably,Interaction ,Nil,4.0,Nothing 
Male,Undergraduate,3,Research ,1.0,3,"Yes, completely",,,3.0,,3,Rarely,No,5.0,Definitely,ITE efficiency ,Nothing ,4.0,Ife 
Male,Undergraduate,3,all of the above,1.0,2,"Yes, partially",,,3.0,,3,Neutral,delight,3.0,Neutral,nothing,nothin,3.0,asdfh
Male,Undergraduate,3,Calculations and research,,3,"Yes, partially",,,4.0,,3,Most of the time,frustration at times for some questions,4.0,Probably,its fast in giving information ,"sometimes you get what you don't expect, especially for diagrams ",4.0,diagrams should be looked into
Male,Undergraduate,2,bgjcdsz,1.0,2,"Yes, completely",,,2.0,,2,A;ways,khgvjdfstnb,2.0,Definitely,fbxdsfa,mjbhv,2.0,jft
Male,Undergraduate,4,Research,1.0,3,"Yes, partially",,,4.0,,3,Most of the time,delight,4.0,Definitely,speed,nothing,4.0,not
Male,Undergraduate,4,research,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,delight,4.0,Definitely,the responses,somethings,4.0,none
Male,Undergraduate,5,Research ,1.0,2,"Yes, completely",,,5.0,,4,A;ways,Delight,5.0,Definitely,It answers questions in details ,Nothing ,4.0,It should be able to communicate in more foreign languages 
Female,Undergraduate,3,Assignment ,1.0,2,"Yes, partially",,,4.0,,4,Rarely,Neutral ,3.0,Probably,Nothing in particular ,Nothing in particular ,3.0,Nothing in particular 
Female,Undergraduate,2,kgty,1.0,2,"Yes, partially",,,2.0,,2,Most of the time,ckh,2.0,Definitely, vbfd,ytgf,2.0,fge
Male,Undergraduate,3,assignment,1.0,3,"Yes, partially",,,2.0,,3,Most of the time,non,4.0,Probably,its features,non,4.0,non
Male,Undergraduate,3,Assignment ,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Yes,3.0,Definitely,Fast Response ,Mistakes ,4.0,Make it more humanic 
Male,Undergraduate,4,"Assignment, Research, Calculation",1.0,1,"Yes, completely",,,4.0,,5,Most of the time,Delight,5.0,Definitely,It’s ability to answer questions and perform task ,There’s a limited number of times  you can perform some specific tasks like graphics design summarize note and generate image ,4.0,Make some features free so people will be able to use it efficiently 
Male,Undergraduate,2,Assignment,1.0,2,"Yes, completely",,,2.0,,2,Neutral,confusion,2.0,Definitely,nothing,nothing,2.0,nothing
Male,Undergraduate,4,Research,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Definitely,The time saving aspect,Nothing ,4.0,"Nothing ,already to my comfort"
Male,Undergraduate,4,"qw,jhdaej",,1,"Yes, completely",,,4.0,,4,Neutral,dqed,3.0,Neutral,dajhke fd,dfjenf,3.0,dkfjsehkf
Male,Undergraduate,4,Research ,1.0,3,"Yes, completely",,,3.0,,4,Neutral,Confusion ,3.0,Definitely,Fast answers ,No ,3.0,It should be able to relate with human thinking 
Female,Undergraduate,3,Assignment ,1.0,2,"Yes, partially",,,4.0,,3,Rarely,No,3.0,Probably,Straight to the point answers,Nothing in particular ,4.0,Nothing 
Male,Undergraduate,4,Assignment ,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Frustration ,4.0,Probably,Quick response ,Mistake,4.0,Include Videos If possible 
Male,Undergraduate,2,research,1.0,2,"Yes, completely",,,2.0,,2,Most of the time,confusion,2.0,Probably,Nothing,nothing,2.0,none
Male,Undergraduate,3,All of the above,1.0,4,"Yes, partially",,,4.0,,4,Most of the time,Depends on  the question,4.0,Probably,INTERACTABILITY,NOTHING,4.0,NOTHING
Male,Undergraduate,2,fgdgv,0.0,2,"Yes, partially",,,2.0,,2,Most of the time,yfyuydud,2.0,Probably,rfxuy,grfhdj,2.0,utctdy
Male,Undergraduate,4,caalculations,1.0,3,"Yes, partially",,,3.0,,3,Neutral,delight,3.0,Probably,eveftyguhj,ssdfvb,4.0,xddcfvghb
Male,Undergraduate,2,ggv,0.0,2,"Yes, completely",,,2.0,,2,Most of the time,tyyy,2.0,Definitely,nothing,everything,2.0,ygy
Male,Undergraduate,2,research,1.0,4,"Yes, completely",,,2.0,,2,Most of the time,delight,2.0,Definitely,efficiency,fgfjgjhbnb,3.0,feedback
Male,Undergraduate,4,All,,4,"Yes, partially",,,4.0,,3,Most of the time,Delight,4.0,Probably,Quick response ,Terms of explanation ,4.0,Emphasis on reply 
Male,Undergraduate,3,Research,1.0,1,"Yes, completely",,,4.0,,4,Neutral,Delight but sometimes it evokes confusion,4.0,Definitely,It enlighten me on what am suppose to do,N/A,4.0,Human like
Male,Undergraduate,2,Research,0.0,3,"Yes, partially",,,1.0,,3,Neutral,rsyesutrs,3.0,Neutral,rttdrw54,eryg,2.0,tyftyt
Male,Undergraduate,5,werty,1.0,2,"Yes, completely",,,3.0,,3,Rarely,sdfg,3.0,Neutral,N/A,N/A,3.0,3e56t
Male,Undergraduate,4,Research,1.0,2,"Yes, partially",,,4.0,,4,Neutral,delight,4.0,Definitely,N/A,N/A,4.0,nil
Male,Undergraduate,5,Research ,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,Delight ,4.0,Definitely,Understability ,Subscription Payment ,5.0,Nothing 
Male,Postgraduate,2,weert,0.0,1,"Yes, completely",,,3.0,,3,Neutral,qwer,1.0,Neutral,weert,wert,3.0,34rt
Male,Undergraduate,3,Research ,1.0,3,"Yes, partially",,,3.0,,4,Rarely,No,3.0,Neutral,The interactions ,It can be wrong sometimes ,4.0,Fix the citations bug
Male,Undergraduate,2,wert,0.0,2,"Yes, completely",,,2.0,,2,A;ways,23wer,3.0,Neutral,wer,qwet,2.0,wer
Female,Undergraduate,3,Assignment and research,,3,"Yes, partially",,,3.0,,3,Neutral,Delight,3.0,Neutral,Speed,Efficiency,3.0,Work on efficiency
Male,Undergraduate,4,sdf,1.0,3,"Yes, completely",,,1.0,,2,Neutral,wert,1.0,Probably,wer,wer,1.0,wet
Female,Undergraduate,2,qwer,1.0,2,"No, not at all",,,2.0,,2,Neutral,qwerty,1.0,Neutral,qwer,45ty,1.0,werty
Male,Undergraduate,3,"Assignment, coding ",1.0,3,"Yes, partially",,,3.0,,3,Neutral,Delight,3.0,Definitely,Everything ,Not able to put pictures ,3.0,Add images 
Male,Undergraduate,2,cal,0.0,2,"Yes, completely",,,2.0,,2,Neutral,wert,3.0,Neutral,qwert,wert,2.0,wer
Male,Undergraduate,3,assignment research,1.0,3,"Yes, partially",,,4.0,,4,Most of the time,frustration,4.0,Probably,understandability,responses,4.0,fix u
Male,Undergraduate,2,qwer,1.0,2,"Yes, completely",,,2.0,,2,Neutral,wert,2.0,Neutral,everthing,everthing,2.0,everthing
Male,Undergraduate,2,qwert,1.0,2,"Yes, partially",,,2.0,,2,Neutral,qwert,3.0,Neutral,qwerrty,qwert,2.0,qweerty
Male,Undergraduate,3,Assignment ,1.0,2,"Yes, completely",,,4.0,,3,Neutral,Delight ,1.0,Probably,Efficiency ,Subscription plan ,3.0,To improve efficiency 
Female,Undergraduate,3,Assignment ,1.0,3,"Yes, partially",,,4.0,,4,Neutral,Nothing in particular ,3.0,Probably,Nothing in particular ,Nothing in particular ,4.0,Nothing in particular 
Male,Undergraduate,4,Assignment ,1.0,4,"Yes, partially",,,4.0,,4,Neutral,Delight ,2.0,Neutral,Efficiency ,Subscription cost ,3.0,Reducing the subscription cost 
